Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Klk1b27,3.77885E-15,0,5.68809E-10,8.30721E-08,8.60879E-08,1.85488E-08,9.59858E-21,1.0475E-20,6.6653E-21
Klk1b3,0,0,0,0,0,0,0,0,0
Klk1b4,1.1703E-07,1.81397E-06,2.83622E-06,4.68494E-06,6.41145E-06,6.25816E-06,5.92656E-06,6.84265E-06,5.78685E-06
Klk1b5,0,0,0,0,0,0,0,0,0
Klk1b7-ps,0,0,0,0,0,0,0,0,0
Klk1b8,0,0,0,0,0,0,0,0,0
Klk1b9,0,0,0,0,0,0,0,0,0
Klk4,0,0,0,0,0,0,0,0,0
Klk5,0,0,0,0,0,0,0,0,0
Klk6,0,0,0,0,0,0,0,0,0
Klk7,0,0,0,0,0,0,0,0,0
Klk8,2.91864E-08,2.99428E-07,2.71425E-07,8.54599E-08,2.16059E-07,1.97688E-07,2.65519E-07,2.02697E-07,2.02036E-07
Klk9,0,0,0,0,0,0,0,0,0
Klkb1;Cyp4v3,0.000194625,0.000191012,0.000200053,0.000218803,0.000216624,0.000238625,0.000231413,0.00021663,0.000235453
Klph;Lctl,0,0,0,0,0,0,0,0,0
Klra17;Ly-49Q,0,0,0,0,0,0,0,0,0
Klra1;Klra16;Klra15;Klra18;Klra22;Ly49A;Klra12;Klra4;Ly-49W;Klra23;Klra7;Ly49G,6.1969E-13,7.31361E-10,3.46825E-08,3.81081E-07,1.16929E-06,1.6863E-06,3.2136E-07,1.60488E-08,1.2152E-08
Klra2,0,0,0,0,0,0,0,0,0
Klra3;Klra10;CH29-493D4.3;Klra8;Klra14;Klra9;Klra21;Klra19;Klra6;Klra5,1.87445E-10,5.20713E-08,2.48988E-07,4.94899E-07,1.18878E-06,1.65888E-06,3.15821E-07,1.57721E-08,1.19424E-08
Klraq1,8.8533E-06,1.30496E-05,1.47271E-05,1.48367E-05,1.57586E-05,1.38175E-05,1.49361E-05,1.47508E-05,1.58559E-05
Klrb1a,7.83523E-09,1.90586E-07,1.77465E-07,3.50248E-08,5.51422E-09,5.40106E-08,1.09202E-07,3.10513E-06,6.99549E-06
Klrb1c;Klrb1b,2.99624E-08,3.63179E-07,2.06882E-07,7.76839E-08,1.34175E-07,2.20448E-07,2.58292E-07,0.000000247,2.85235E-07
Klrb1f,5.56364E-10,8.66255E-07,1.81262E-06,1.08438E-06,4.27572E-07,1.20782E-08,1.07827E-10,3.67472E-13,2.33197E-14
Klrc1;Klrc2;Nkg2c,0,0,0,0,0,0,0,0,0
Klrc3,0,0,0,0,0,0,0,0,0
Klre1,1.37834E-19,1.8039E-15,6.24633E-13,3.5514E-10,3.2848E-09,3.56873E-08,8.74964E-08,1.11156E-07,1.19336E-07
Klrg1,2.41499E-09,1.24773E-07,1.21446E-07,4.33757E-08,7.06372E-09,1.05777E-10,3.42029E-14,0,0
Klrg2,0,0,0,0,0,0,0,0,0
Klri1,0,0,0,0,0,0,0,0,0
Klri2,0,1.87195E-14,2.95056E-11,2.55084E-08,1.27568E-07,2.3628E-08,5.06405E-20,3.12284E-19,2.18087E-19
Klrk1,1.12566E-10,8.10123E-08,2.11839E-07,6.73116E-07,6.49535E-07,7.31056E-08,1.52491E-07,4.92776E-07,2.48537E-07
Kmo,3.48307E-05,3.86408E-05,4.06557E-05,4.56182E-05,5.07259E-05,5.60938E-05,5.3282E-05,4.87979E-05,5.39432E-05
Kncn,0,0,0,0,0,0,0,0,0
Kndc1,0,0,0,0,0,0,0,0,0
Kng1,0.00251758,0.002821672,0.003030137,0.003327106,0.003578784,0.003579821,0.003655897,0.003743273,0.003748539
Kng2,0.000332085,0.000354407,0.000372494,0.000387822,0.000411093,0.000420821,0.000428279,0.000436698,0.0004476
Kntc1,0,0,0,0,0,0,0,0,0
Kox-1;Nox4,6.80079E-07,1.24032E-06,1.3957E-06,1.35634E-06,1.71764E-06,1.57991E-06,1.73801E-06,3.08259E-06,2.82191E-06
Kpc1;Rnf123,2.38849E-05,2.23547E-05,2.24402E-05,0.000031681,1.91861E-05,1.79744E-05,1.73018E-05,1.72296E-05,1.91938E-05
Kpna1,8.13679E-06,1.27184E-05,1.12095E-05,1.49024E-05,1.33263E-05,1.2125E-05,1.15139E-05,8.94619E-06,8.37479E-06
Kpna2,1.32188E-11,1.529E-08,2.55144E-07,4.35252E-07,9.81307E-07,8.94592E-07,7.73722E-07,3.98921E-07,9.31051E-07
Kpna3,1.09054E-05,7.95881E-06,7.47829E-06,6.42632E-06,8.07836E-06,6.66764E-06,6.19843E-06,5.30171E-06,5.02868E-06
Kpna4,1.7876E-06,9.79531E-06,9.91493E-06,1.10218E-05,9.04934E-06,8.32498E-06,8.23544E-06,5.4547E-06,4.92525E-06
Kpna6,2.74833E-05,3.38797E-05,3.72329E-05,3.87737E-05,3.81133E-05,3.94773E-05,3.30843E-05,3.57403E-05,3.13473E-05
Kpna7,0,0,0,0,0,0,0,0,0
Kpnb1,2.96996E-05,2.61365E-05,2.63955E-05,2.76572E-05,3.18161E-05,3.1568E-05,2.83029E-05,2.53572E-05,2.58135E-05
Kprp,0,0,0,0,0,0,0,0,0
Kptn,1.02242E-05,1.12469E-05,1.14473E-05,1.08693E-05,1.03092E-05,8.80562E-06,8.82905E-06,7.6654E-06,7.88301E-06
