Slide,Index,cell_ID,cluster
m5C,184,m5C_48_target4,1
m5C,206,m5C_48_target8,1
m5C,186,m5C_49_target4,1
m5C,210,m5C_50_target8,1
m5C,212,m5C_51_target8,1
m5C,192,m5C_52_target4,1
m5C,196,m5C_54_target4,1
m5C,218,m5C_54_target8,1
m5C,244,m5C_56_target8,1
m5C,224,m5C_57_target4,1
m5C,246,m5C_57_target8,1
m5C,226,m5C_58_target4,1
m5C,228,m5C_59_target4,1
m5C,250,m5C_59_target8,1
m5C,232,m5C_61_target4,1
m5C,254,m5C_61_target8,1
m5C,256,m5C_62_target8,1
m5C,258,m5C_63_target8,1
m5C,262,m5C_65_target8,1
m5C,264,m5C_66_target8,1
m5C,266,m5C_67_target4,1
m5C,288,m5C_67_target8,1
m5C,286,m5C_77_target4,1
